iter	Passed	Remaining
408	4858	7020
409	4869	7007
410	4881	6995
411	4894	6985
412	4906	6974
413	4920	6964
414	4934	6955
415	4945	6943
416	4957	6931
417	4968	6918
418	4979	6905
419	4991	6893
420	5002	6880
421	5015	6869
422	5027	6857
423	5038	6845
424	5050	6832
425	5062	6821
426	5074	6809
427	5085	6796
428	5096	6783
429	5108	6771
430	5120	6759
431	5131	6747
432	5143	6734
433	5154	6722
434	5165	6709
435	5177	6697
436	5189	6686
437	5200	6673
438	5212	6660
439	5225	6650
440	5238	6640
441	5250	6628
442	5261	6615
443	5273	6603
444	5285	6592
445	5297	6579
446	5309	6568
447	5321	6557
448	5333	6545
449	5345	6532
450	5356	6520
451	5369	6510
452	5382	6498
453	5392	6485
454	5404	6472
455	5416	6461
456	5427	6449
457	5439	6437
458	5451	6425
459	5462	6412
460	5474	6400
461	5485	6388
462	5497	6375
463	5509	6364
464	5520	6351
465	5532	6340
466	5545	6329
467	5556	6316
468	5567	6303
469	5579	6291
470	5590	6278
471	5601	6266
472	5615	6256
473	5627	6244
474	5638	6232
475	5651	6220
476	5662	6208
477	5674	6197
478	5685	6184
479	5697	6171
480	5708	6159
481	5720	6148
482	5732	6135
483	5743	6123
484	5754	6110
485	5766	6099
486	5777	6086
487	5790	6075
488	5802	6064
489	5814	6052
490	5825	6039
491	5838	6027
492	5849	6016
493	5861	6003
494	5872	5991
495	5883	5978
496	5894	5966
497	5906	5953
498	5917	5941
499	5929	5929
500	5942	5919
501	5954	5906
502	5965	5894
503	5976	5881
504	5988	5869
505	5999	5857
506	6010	5844
507	6021	5831
508	6033	5820
509	6046	5809
510	6057	5796
511	6069	5785
512	6081	5773
513	6091	5760
514	6103	5747
515	6114	5735
516	6127	5724
517	6138	5712
518	6152	5701
519	6166	5692
520	6177	5679
521	6188	5667
522	6200	5655
523	6212	5643
524	6224	5631
525	6235	5618
526	6247	5607
527	6259	5595
528	6270	5583
529	6281	5570
530	6293	5558
531	6303	5545
532	6315	5533
533	6328	5522
534	6340	5510
535	6351	5498
536	6363	5486
537	6375	5474
538	6387	5463
539	6398	5450
540	6410	5438
541	6421	5426
542	6433	5414
543	6444	5401
544	6456	5389
545	6468	5378
546	6479	5365
547	6491	5354
548	6502	5341
549	6514	5329
550	6526	5318
551	6537	5306
552	6549	5294
553	6560	5281
554	6571	5268
555	6583	5257
556	6594	5244
557	6605	5232
558	6617	5220
559	6629	5208
560	6640	5196
561	6652	5184
562	6663	5172
563	6674	5159
564	6687	5148
565	6698	5136
566	6710	5124
567	6723	5113
568	6735	5102
569	6748	5091
570	6761	5079
571	6771	5067
572	6784	5056
573	6795	5043
574	6805	5030
575	6817	5018
576	6828	5006
577	6839	4993
578	6850	4981
579	6862	4969
580	6873	4957
581	6885	4945
582	6897	4933
583	6909	4921
584	6919	4908
585	6931	4896
586	6943	4885
587	6955	4873
588	6966	4861
589	6978	4849
590	6989	4837
591	7001	4825
592	7012	4813
593	7023	4800
594	7034	4788
595	7046	4776
596	7057	4764
