iter	RMSE
287	2374.221161
288	2373.300006
289	2372.265104
290	2372.104112
291	2369.95621
292	2368.893637
293	2366.729707
294	2364.398935
295	2363.464906
296	2363.198698
297	2361.934462
298	2360.965985
299	2359.940775
300	2358.712778
301	2357.920874
302	2357.775538
303	2356.574793
304	2355.264914
305	2354.290971
306	2352.363289
307	2350.437796
308	2348.901311
309	2347.150722
310	2345.662642
311	2344.294252
312	2342.867544
313	2341.985834
314	2340.274189
315	2338.840447
316	2338.553297
317	2337.83172
318	2336.974635
319	2336.008363
320	2334.985608
321	2333.926849
322	2331.838669
323	2330.354024
324	2328.926151
325	2328.625166
326	2327.198256
327	2325.910936
328	2324.809009
329	2323.704203
330	2322.973761
331	2321.663308
332	2320.557368
333	2319.924149
334	2318.621943
335	2318.371009
336	2317.47645
337	2316.001152
338	2315.192866
339	2314.165973
340	2313.420283
341	2312.526651
342	2310.544289
343	2309.251569
344	2307.916029
345	2307.79025
346	2306.599876
347	2305.931764
348	2305.05682
349	2304.260827
350	2300.545911
351	2300.428615
352	2298.415038
353	2297.462903
354	2296.229888
355	2295.307027
356	2294.133043
357	2293.42428
358	2293.31372
359	2292.070853
360	2290.271984
361	2288.505371
362	2287.682829
363	2286.592059
364	2285.818741
365	2284.756436
366	2283.288604
367	2281.995194
368	2281.799463
369	2280.864533
370	2279.950079
371	2279.085234
372	2278.094773
373	2276.904628
374	2276.018986
375	2275.345495
376	2274.402673
377	2273.626427
378	2272.68258
379	2271.995926
380	2271.106199
381	2270.508436
382	2269.160246
383	2268.304758
384	2267.415834
385	2266.063262
386	2264.584542
387	2263.556633
388	2263.455102
389	2262.187399
390	2261.055362
391	2259.577074
392	2259.093359
393	2258.388997
394	2257.699892
395	2257.080091
396	2256.264146
397	2254.975589
398	2253.40623
399	2252.118022
400	2251.573538
401	2249.028948
402	2248.963875
403	2248.319101
404	2247.498622
405	2246.765804
406	2244.335808
407	2243.483748
408	2242.45005
409	2241.754193
410	2241.358693
411	2239.682602
412	2239.118058
413	2237.898436
414	2237.114529
415	2236.0936
416	2236.008005
417	2232.964545
418	2232.489713
419	2231.424914
420	2230.539272
421	2229.820533
422	2228.684051
423	2227.675864
424	2226.513861
425	2225.650157
426	2224.791453
427	2223.96654
428	2223.013939
429	2222.134427
430	2221.367153
431	2220.614749
432	2219.996824
433	2219.411065
434	2218.799625
435	2218.775202
436	2218.325683
437	2218.302373
438	2217.558546
439	2216.911712
440	2215.996836
441	2215.256283
442	2214.776428
443	2213.871549
444	2211.573816
445	2211.180442
446	2209.995778
447	2208.966086
448	2208.361817
449	2207.863957
450	2207.0793
451	2206.474478
452	2205.679301
453	2205.598229
454	2204.18092
455	2203.189516
456	2201.116674
457	2199.682506
458	2198.959934
459	2198.437036
460	2198.328375
461	2197.550007
462	2196.974795
463	2196.086536
464	2195.081058
465	2191.978321
466	2191.373713
467	2190.86594
468	2190.296993
469	2189.286416
470	2188.515124
471	2187.715339
472	2186.66312
473	2185.697509
474	2185.609189
475	2184.500707
476	2183.776678
477	2183.202756
478	2182.49963
479	2181.879932
480	2181.803838
481	2180.468908
482	2179.778683
483	2179.210676
484	2177.973636
485	2177.466342
486	2176.79015
487	2176.047519
488	2175.155485
489	2174.6297
490	2173.923419
491	2173.302589
492	2172.033331
493	2171.651959
494	2171.021601
495	2170.205346
496	2169.477032
497	2169.174322
498	2168.737177
499	2168.272665
500	2166.305783
501	2165.515953
502	2165.108233
503	2164.577368
504	2162.577478
505	2161.845535
506	2161.401664
507	2160.753529
508	2159.131617
509	2158.638311
510	2157.739237
511	2157.236534
512	2155.830352
513	2155.812414
514	2155.166046
515	2154.573134
516	2153.485135
517	2152.652255
518	2151.765715
519	2151.353227
520	2151.020963
521	2150.474686
522	2149.940456
523	2149.468876
524	2148.898835
525	2148.645873
526	2147.463271
527	2144.950616
528	2144.204799
529	2143.568317
530	2142.963957
531	2142.35968
532	2141.133783
533	2139.255087
534	2138.89031
535	2138.318219
536	2137.587495
537	2137.088773
538	2135.072009
539	2134.015974
540	2133.622537
541	2133.069208
542	2131.688294
543	2131.27734
544	2131.007026
545	2130.262839
546	2129.601838
547	2129.261151
548	2128.872435
549	2128.103628
550	2126.313248
551	2126.232539
552	2125.475633
553	2124.375766
554	2123.565497
555	2122.361424
556	2122.226229
557	2121.684821
558	2121.20766
559	2120.813861
560	2120.191608
561	2119.41583
562	2118.856168
563	2118.398269
564	2117.99635
565	2117.5852
566	2116.660557
567	2115.826428
568	2114.411411
569	2113.093057
570	2111.852572
571	2110.643985
572	2109.358191
573	2108.973869
574	2108.818084
575	2108.009944
576	2107.138435
577	2106.701162
578	2105.8556
579	2105.557646
580	2105.077259
581	2104.017941
582	2103.353075
583	2102.871895
584	2102.463257
585	2101.528815
586	2100.904254
587	2099.928676
588	2099.091915
589	2098.552823
590	2097.944773
591	2097.552071
592	2097.012385
593	2096.579584
594	2096.282017
595	2095.351038
596	2095.266459
597	2094.524702
598	2093.496459
599	2092.986701
600	2091.821138
601	2091.459761
602	2090.476832
603	2089.923808
604	2089.330219
605	2089.045328
606	2088.246727
607	2087.857517
608	2087.42972
609	2086.892209
610	2086.532347
611	2085.510174
612	2084.645269
613	2084.38137
614	2083.358849
615	2082.872265
616	2081.348743
617	2080.834763
618	2080.338822
619	2080.040817
620	2079.111206
621	2078.423955
622	2076.538962
623	2075.781488
624	2074.775817
625	2074.228424
626	2073.852092
627	2073.235328
628	2072.814343
629	2072.154393
630	2071.584164
631	2070.106259
632	2069.807857
633	2069.549929
634	2069.035284
635	2068.611034
636	2067.064324
637	2066.531286
638	2065.882453
639	2065.43473
640	2064.815203
641	2064.33872
642	2064.171462
643	2063.452021
644	2062.266862
645	2061.796475
646	2061.425078
647	2061.3653
648	2060.642348
649	2059.755699
650	2058.88575
651	2058.036835
652	2057.555052
653	2056.478056
654	2055.958634
655	2055.69372
656	2055.681409
657	2054.947672
658	2054.547564
659	2053.410994
660	2052.948668
661	2052.798407
662	2052.256947
663	2051.266496
664	2050.818448
665	2050.188039
666	2049.499694
667	2049.132263
668	2048.686542
669	2048.093505
670	2046.970938
671	2046.601402
672	2045.430427
673	2044.473368
674	2044.179813
675	2043.799172
676	2043.38169
677	2043.369718
678	2042.815627
679	2042.062952
680	2041.139272
681	2040.369482
682	2039.56514
683	2038.572614
684	2038.006688
685	2037.206606
686	2036.753702
687	2036.196194
688	2035.781112
689	2035.311461
690	2035.023748
691	2034.528203
692	2033.282533
693	2032.980781
694	2032.891816
695	2032.487447
696	2031.030166
697	2030.337062
698	2028.816214
699	2028.514903
700	2027.667649
701	2027.102788
702	2026.723244
703	2026.27229
704	2025.757099
705	2024.883707
706	2023.790093
707	2022.896125
708	2022.597256
709	2020.424742
710	2020.104712
711	2019.665745
712	2018.714669
713	2018.079089
714	2017.120818
715	2016.625562
716	2016.019788
717	2015.663962
718	2015.26391
719	2014.590369
720	2014.260788
721	2014.176263
722	2012.79527
723	2012.458973
724	2011.968602
725	2011.185108
726	2010.886237
727	2010.532088
728	2010.396125
729	2009.416199
730	2009.129693
731	2008.807816
732	2008.279863
733	2007.595206
734	2007.509959
735	2007.000799
736	2006.284469
737	2005.94656
738	2004.761276
739	2004.061121
740	2003.653762
741	2002.831125
742	2002.445748
743	2001.857904
744	2001.114131
745	2000.889274
746	2000.448252
747	2000.147296
748	1999.90561
749	1999.669601
750	1999.658845
751	1999.009685
752	1998.413534
753	1997.954229
754	1997.640524
755	1997.299907
756	1996.933888
757	1996.923606
758	1996.644919
759	1996.257635
760	1995.553468
761	1995.178047
762	1995.168168
763	1994.765637
764	1994.055883
765	1993.642691
766	1992.867653
767	1991.106143
768	1991.096643
769	1990.380615
770	1989.961527
771	1989.117976
772	1988.85266
773	1988.47058
774	1988.23354
775	1986.757693
776	1986.446704
777	1984.948295
778	1984.26401
779	1983.835821
780	1983.521423
781	1982.891712
782	1982.474651
783	1981.446541
784	1981.124152
785	1980.55693
786	1980.421045
787	1979.995522
788	1978.511517
789	1978.106263
790	1977.453429
791	1977.109395
792	1976.337254
793	1976.065843
794	1975.525593
795	1975.163076
796	1974.569644
797	1973.825515
798	1973.731122
799	1972.865831
800	1972.181263
801	1970.848282
802	1970.118479
803	1969.233079
804	1968.754298
805	1968.197096
806	1967.434295
807	1966.283347
808	1965.813096
809	1965.439675
810	1964.838145
811	1964.611277
812	1964.47407
813	1963.123018
814	1962.588567
815	1961.943117
816	1961.730393
817	1960.982983
818	1960.640784
819	1960.216411
820	1958.819456
821	1958.53602
822	1958.141141
823	1957.188859
824	1956.617945
825	1954.888813
826	1954.52557
827	1954.316879
828	1953.922411
829	1953.408531
830	1953.141562
831	1952.717859
832	1952.340709
833	1950.901957
834	1950.54937
835	1949.971406
836	1949.526703
837	1948.871621
838	1948.522564
839	1947.992557
840	1947.674291
841	1947.665633
842	1946.819217
843	1946.109629
844	1944.99982
845	1944.661062
846	1943.615534
847	1942.741435
848	1942.223655
849	1941.902212
850	1941.625647
851	1940.435516
852	1939.410926
853	1938.968536
854	1938.267403
855	1937.0819
856	1936.745854
857	1936.385578
858	1935.834151
859	1935.584272
860	1934.428888
861	1934.262197
862	1933.738042
863	1933.214854
864	1932.323238
865	1931.592275
866	1931.27424
867	1930.825793
868	1930.578942
869	1930.176782
870	1929.703943
871	1929.344099
872	1929.092433
873	1928.570497
874	1927.997769
875	1927.164593
876	1926.831349
877	1926.231545
878	1925.484938
879	1925.14962
880	1924.495398
881	1924.130543
882	1922.749703
883	1922.416037
884	1921.820128
885	1921.531604
886	1920.899229
887	1918.956558
888	1918.412479
889	1918.164832
890	1917.561415
891	1917.281426
892	1916.716667
893	1916.367859
894	1915.755075
895	1914.597953
896	1913.769792
897	1913.054909
898	1912.497327
899	1912.148647
900	1911.561724
901	1910.882008
902	1910.194768
903	1910.00656
904	1908.765206
905	1908.426949
906	1908.039663
907	1907.637224
908	1907.454711
909	1907.04773
910	1906.628297
911	1906.131452
912	1905.547059
913	1905.359324
914	1904.820262
915	1903.799769
916	1903.419067
917	1903.092614
918	1902.192244
919	1901.770993
920	1900.840583
921	1899.59929
922	1899.272279
923	1898.990384
924	1898.477824
925	1898.196027
926	1897.196251
927	1896.872699
928	1895.487128
929	1895.251212
930	1894.690632
931	1894.395706
932	1894.028951
933	1893.300003
934	1892.594378
935	1892.208526
936	1891.868185
937	1891.462885
938	1891.454922
939	1891.245173
940	1890.547627
941	1889.535795
942	1889.108904
943	1888.669106
944	1888.070028
945	1887.559829
946	1886.991864
947	1886.470175
948	1885.897886
949	1885.659124
950	1885.389753
951	1884.97548
952	1884.96786
953	1884.667642
954	1884.432594
955	1883.746186
956	1883.398702
957	1882.879595
958	1882.223089
959	1881.719052
960	1881.225483
961	1880.453137
962	1880.265225
963	1879.450835
964	1879.443443
965	1879.238367
966	1878.689359
967	1878.098574
968	1877.632285
969	1877.178626
970	1876.799089
971	1876.514028
972	1875.823719
973	1875.5292
974	1875.303834
975	1875.034683
976	1874.741387
977	1874.281793
978	1873.111041
979	1872.88457
980	1872.46302
981	1872.143263
982	1871.940685
983	1871.524766
984	1871.322161
985	1870.891788
986	1870.230145
987	1869.973995
988	1869.88668
989	1869.747472
990	1869.522477
991	1869.179137
992	1868.260293
993	1867.457869
994	1867.170635
995	1866.620477
996	1866.07982
997	1865.639113
998	1865.012213
999	1864.875542
